"filename", "language", "Properties", "SQL", "PHP", "CSS", "Markdown", "JSON", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\.gitattributes", "Properties", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\MysqliDb.php", "PHP", 0, 0, 1215, 0, 0, 0, 0, 0, 0, 998, 294, 2507
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\composer.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\dbObject.md", "Markdown", 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 65, 338
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\dbObject.php", "PHP", 0, 0, 433, 0, 0, 0, 0, 0, 0, 292, 83, 808
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\index.php", "PHP", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 15, 126
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\readme.md", "Markdown", 0, 0, 0, 0, 722, 0, 0, 0, 0, 0, 118, 840
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\dataimport\data.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\dataimport\test.import.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 9, 5, 61
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\dataimport\users.sql", "SQL", 0, 17, 0, 0, 0, 0, 0, 0, 0, 18, 11, 46
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\dbObjectTests.php", "PHP", 0, 0, 242, 0, 0, 0, 0, 0, 0, 5, 39, 286
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\models\product.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 8, 4, 31
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\models\user.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 15, 4, 40
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\submodules\PHP-MySQLi-Database-Class\tests\mysqliDbTests.php", "PHP", 0, 0, 422, 0, 0, 0, 0, 0, 0, 32, 53, 507
"Total", "-", 5, 573, 5188, 13006, 995, 25, 8431, 2149, 8, 3619, 5165, 39164
